,date,bkx,open,high,low,volume,bkx_cr
0,2021-12-27,132.8300018,131.5899963,132.8500061,130.8300018,0,nan%
1,2021-12-28,132.7899933,132.3999939,133.8000031,132.3999939,0,-0.03%
2,2021-12-29,132.7700043,133.0299988,133.3999939,132.5899963,0,-0.02%
3,2021-12-30,132.3000031,132.9299927,133.9100037,132.2200012,0,-0.35%
4,2021-12-31,132.2200012,132,132.7599945,131.8600006,0,-0.06%
5,2022-01-03,135.6900024,133.7400055,135.9600067,133.6900024,0,2.62%
6,2022-01-04,140.2899933,137.3300018,141.1399994,137.3099976,0,3.39%
7,2022-01-05,138.7700043,141.1499939,141.6300049,138.6399994,0,-1.08%
8,2022-01-06,143.2799988,140.7100067,143.3300018,139.8999939,0,3.25%
9,2022-01-07,145.5700073,143.4499969,145.8699951,143.0099945,0,1.60%
10,2022-01-10,145.25,146.8200073,147.2799988,143.6699982,0,-0.22%
11,2022-01-11,146.5399933,145.8800049,146.6000061,144.4199982,0,0.89%
12,2022-01-12,147.2799988,147.0399933,148.1000061,146.5299988,0,0.50%
13,2022-01-13,147.5599976,147.8399963,148.9600067,147.1399994,0,0.19%
14,2022-01-14,147.1000061,145.8699951,147.1600037,144.1199951,0,-0.31%
15,2022-01-18,143.5700073,147.1399994,147.4799957,142.9400024,0,-2.40%
16,2022-01-19,139.0700073,144.6000061,144.6900024,139.0399933,0,-3.13%
17,2022-01-20,136.7700043,138.8800049,140.9199982,136.5,0,-1.65%
18,2022-01-21,132.3500061,135.6799927,135.6799927,131.6799927,0,-3.23%
19,2022-01-24,133.6300049,130.3600006,134.0399933,127.3000031,0,0.97%
20,2022-01-25,134.2899933,132.5,135.3600006,129.7899933,0,0.49%
21,2022-01-26,134.6600037,135.1900024,137.1300049,132.6900024,0,0.28%
22,2022-01-27,133.0399933,136.2400055,137.6699982,132.1499939,0,-1.20%
23,2022-01-28,134.4199982,132.5599976,134.4499969,130.6999969,0,1.04%
24,2022-01-31,134.9799957,133.2400055,135.3000031,131.9400024,0,0.42%
25,2022-02-01,138.1900024,134.8399963,138.3899994,134.6600037,0,2.38%
26,2022-02-02,138.7400055,137.8000031,138.9499969,136.6999969,0,0.40%
27,2022-02-03,137.3000031,138.8000031,139.9199982,137.0299988,0,-1.04%
28,2022-02-04,140.0500031,137.8000031,141.1900024,137.7700043,0,2.00%
29,2022-02-07,140.9100037,140.3899994,141.7299957,139.5,0,0.61%
30,2022-02-08,143.7700043,142.5700073,144.0800018,142.3699951,0,2.03%
31,2022-02-09,143.8999939,143.8600006,144.6999969,143.3999939,0,0.09%
32,2022-02-10,143.4400024,143.7700043,146.2599945,142.7599945,0,-0.32%
