,date,cpi,cpi_anticipated,cpi_previous
0,2019-08-13,1.80%,1.70%,1.60%
1,2019-09-12,1.70%,1.80%,1.80%
2,2019-10-10,1.70%,1.80%,1.70%
3,2019-11-13,1.80%,1.70%,1.70%
4,2019-12-11,2.10%,2.00%,1.80%
5,2020-01-14,2.30%,2.30%,2.10%
6,2020-02-13,2.50%,2.40%,2.30%
7,2020-03-11,2.30%,2.20%,2.50%
8,2020-04-10,1.50%,1.60%,2.30%
9,2020-05-12,0.30%,0.40%,1.50%
10,2020-06-10,0.10%,0.20%,0.30%
11,2020-07-14,0.60%,0.60%,0.10%
12,2020-08-12,1.00%,0.80%,0.60%
13,2020-09-11,1.30%,1.20%,1.00%
14,2020-10-13,1.40%,1.40%,1.30%
15,2020-11-12,1.20%,1.30%,1.40%
16,2020-12-10,1.20%,1.10%,1.20%
17,2021-01-13,1.40%,1.30%,1.20%
18,2021-02-10,1.40%,1.50%,1.30%
19,2021-03-10,1.70%,1.70%,1.40%
20,2021-04-13,2.60%,2.50%,1.70%
21,2021-05-12,4.20%,3.60%,2.60%
22,2021-06-10,5.00%,4.70%,4.20%
23,2021-07-13,5.40%,4.90%,5.00%
24,2021-08-11,5.40%,5.30%,5.40%
25,2021-09-14,5.30%,5.30%,5.40%
26,2021-10-13,5.40%,5.30%,5.30%
27,2021-11-10,6.20%,5.80%,5.40%
28,2021-12-10,6.80%,6.80%,6.20%
29,2022-01-12,7.00%,7.00%,6.80%
30,2022-02-10,7.50%,7.30%,7.00%
31,2022-03-10,7.90%,7.90%,7.50%
32,2022-04-12,8.50%,8.40%,7.90%
33,2022-05-11,8.30%,8.10%,8.50%
34,2022-06-10,8.60%,8.30%,8.30%
35,2022-07-13,9.10%,8.80%,8.60%
36,2022-08-10,8.50%,8.70%,9.10%
37,2022-09-13,8.30%,8.10%,8.50%
38,2022-10-13,8.20%,8.10%,8.20%
39,2022-11-10,7.70%,8.00%,8.20%
40,2022-12-13,7.10%,7.30%,7.80%
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
