,date,dji,open,high,low,volume,dji_cr
0,2021-12-27,36302.37891,35954.48047,36306.60938,35954.48047,244350000,nan%
1,2021-12-28,36398.21094,36302.98828,36527.26172,36302.98828,239090000,0.26%
2,2021-12-29,36488.62891,36421.14063,36571.55078,36396.19141,213480000,0.25%
3,2021-12-30,36398.07813,36522.48047,36679.44141,36372.12891,205620000,-0.25%
4,2021-12-31,36338.30078,36385.85156,36484.94141,36303.96875,213200000,-0.16%
5,2022-01-03,36585.05859,36321.58984,36595.82031,36246.44922,347930000,0.68%
6,2022-01-04,36799.64844,36636,36934.83984,36636,435080000,0.59%
7,2022-01-05,36407.10938,36722.60156,36952.64844,36400.39063,462040000,-1.07%
8,2022-01-06,36236.46875,36409.05078,36464.19141,36200.67969,385890000,-0.47%
9,2022-01-07,36231.66016,36249.58984,36382.83984,36111.53125,356110000,-0.01%
10,2022-01-10,36068.87109,36175.21094,36175.21094,35639.91016,430680000,-0.45%
11,2022-01-11,36252.01953,36058.85156,36271.46875,35769.37891,356850000,0.51%
12,2022-01-12,36290.32031,36336.16016,36453.48828,36168.14844,310180000,0.11%
13,2022-01-13,36113.62109,36312.48828,36513.87891,36044.21875,343640000,-0.49%
14,2022-01-14,35911.80859,35996.42969,35996.42969,35641.48828,389200000,-0.56%
15,2022-01-18,35368.46875,35661.76172,35661.76172,35262.01953,427260000,-1.51%
16,2022-01-19,35028.64844,35412.30078,35547.82813,35015.48828,393080000,-0.96%
17,2022-01-20,34715.39063,35102.66016,35490.19922,34670.12109,369070000,-0.89%
18,2022-01-21,34265.37109,34701.69141,34896.67188,34229.55078,523880000,-1.30%
19,2022-01-24,34364.5,34070.60938,34420.98828,33150.32813,664010000,0.29%
20,2022-01-25,34297.73047,34186.64063,34591.03906,33545.51953,506430000,-0.19%
21,2022-01-26,34168.08984,34520.82031,34815.67188,33876.48047,546330000,-0.38%
22,2022-01-27,34160.78125,34261.75,34773.32031,34007.78125,527780000,-0.02%
23,2022-01-28,34725.46875,34135.23828,34731.76953,33807.51172,568440000,1.65%
24,2022-01-31,35131.85938,34691.17188,35148.14063,34496.10156,468070000,1.17%
25,2022-02-01,35405.23828,35151.46875,35441.08984,34977.94922,386080000,0.78%
26,2022-02-02,35629.32813,35378.19141,35679.19922,35290.12109,359540000,0.63%
27,2022-02-03,35111.16016,35520.07813,35535.94141,35071.05859,381020000,-1.45%
28,2022-02-04,35089.73828,35095.73828,35333.55078,34799.07813,349880000,-0.06%
29,2022-02-07,35091.12891,35108.37891,35325.01172,34993.98047,328910000,0.00%
30,2022-02-08,35462.78125,35160.67969,35544.89063,35090.42188,319190000,1.06%
31,2022-02-09,35768.05859,35614.89844,35824.28125,35614.89844,333610000,0.86%
32,2022-02-10,35241.58984,35630.80859,35800.23828,35100.71875,411620000,-1.47%
33,2022-02-11,34738.05859,35267.89063,35431.14844,34620.51953,398860000,-1.43%
34,2022-02-14,34566.17188,34694.5,34744.55859,34304.28125,370320000,-0.49%
35,2022-02-15,34988.83984,34686.19141,35047.78906,34686.19141,305670000,1.22%
36,2022-02-16,34934.26953,34951.82813,35042.08984,34642.64063,294410000,-0.16%
37,2022-02-17,34312.03125,34858.46875,34858.46875,34246.23047,348720000,-1.78%
38,2022-02-18,34079.17969,34310.44922,34423.57813,33976.17969,414080000,-0.68%
39,2022-02-22,33596.60938,33974.08984,34024.73828,33364.28906,432090000,-1.42%
40,2022-02-23,33131.76172,33680.96875,33832.58984,33084.89844,370600000,-1.38%
41,2022-02-24,33223.82813,32830.32813,33269.33984,32272.64063,590850000,0.28%
42,2022-02-25,34058.75,33277.21875,34095.73828,33277.21875,417630000,2.51%
43,2022-02-28,33892.60156,33870.62109,33963.62891,33469.30859,443460000,-0.49%
44,2022-03-01,33294.94922,33813.48047,33870.14063,33107.67188,438730000,-1.76%
45,2022-03-02,33891.35156,33379.51172,34013.67188,33379.51172,400920000,1.79%
46,2022-03-03,33794.66016,33972.87109,34179.07031,33641.53125,369740000,-0.29%
47,2022-03-04,33614.80078,33655.42969,33655.42969,33254.12109,408390000,-0.53%
48,2022-03-07,32817.37891,33579.75,33579.75,32806.14844,488400000,-2.37%
49,2022-03-08,32632.64063,32885.17188,33402.98047,32578.73047,553750000,-0.56%
50,2022-03-09,33286.25,32860.42188,33457.28125,32860.42188,418670000,2.00%
51,2022-03-10,33174.07031,33106.76953,33236.58984,32819.76172,399480000,-0.34%
52,2022-03-11,32944.19141,33279.71875,33515.60938,32911.89063,369480000,-0.69%
53,2022-03-14,32945.23828,33000.37109,33395.58984,32818.16016,394940000,0.00%
54,2022-03-15,33544.33984,32989.26953,33620.83984,32989.26953,388810000,1.82%
55,2022-03-16,34063.10156,33653.92969,34075.94141,33391.23828,427400000,1.55%
56,2022-03-17,34480.76172,33995.39063,34483.92188,33896.05859,339470000,1.23%
57,2022-03-18,34754.92969,34466.71875,34755.19922,34279.82813,615420000,0.80%
58,2022-03-21,34552.98828,34669.85156,34808.28125,34341.80859,408490000,-0.58%
59,2022-03-22,34807.46094,34583.23828,34882.03125,34583.23828,368550000,0.74%
